stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,5.35,0,0,1.07,0,67.4,3.21,0,0,1.07,0,0,2.14,0,0,0,0,0,0
21Day,9.37,0,1.34,575.57,0,24.09,0,2.68,0,0,1.34,2.68,0,0,0,18.74,91.02,5.35,26.77,0,1.34,137.87,0,26.77,8.03,0,1.34,22.76,5.35,1.34,1.34,1.34,1.34,0,0,0,5.35
3Month,0.32,6.4,3.52,949.29,1.28,0,4.8,0.32,0.32,12.16,11.2,35.19,16.64,0.32,26.88,127.98,38.39,13.12,59.19,39.03,0.64,556.71,63.67,8.64,0.32,4.48,1.6,0.32,6.72,29.76,0.96,0.96,0,0.32,3.84,14.08,9.6
22Month,1.64,6.01,1.64,663.09,0,0,9.84,0,0,5.47,11.48,50.29,5.47,2.19,19.13,26.24,12.57,12.03,31.16,2.19,3.28,393.04,8.2,7.65,0,2.19,2.73,0,0.55,13.12,0,0,0,0,0,0,5.47
