stage,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Macrophage,Neural_cell,T_cell
24hpf,0,0,0,4.09,0,0
72hpf,11.77,0,0,0,0,0
21Day,14.72,6.69,1.34,0,1.34,1.34
