stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,1.34,0,1.34,0,0,0,1.34,0,0,24.09,2.68,1.34,0,0,0
3Month,0.64,0.32,0,0.32,0,0.64,0,3.52,0,0,0.64,0,0,0,0.64
22Month,2.19,0,0,1.09,0.55,1.64,0,4.37,0.55,0,1.09,1.09,0,0.55,2.19
