stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,4.09,0,0,0,4.09,16.35,0,0,8.17,36.78,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,0,0,0,0,0,0,0,0,4.28,0,0,0,4.28,8.56,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,0,0,0,2.68,0,2.68,0,2.68,0,0,0,0,2.68,0,4.02,0,0,0
3Month,0,0.32,0,5.12,0.32,0.32,0.96,1.28,0,18.88,2.88,0.64,1.92,5.12,2.88,0,0.32,0.32,0.32,0,0.32,0,1.28,0,0.32,1.28,0.96
22Month,0,2.73,2.19,3.83,0,0,0.55,1.09,0,38.81,6.56,0.55,0.55,3.83,5.47,0.55,0.55,0,0,0.55,0,0,1.09,0,0.55,0,1.64
