stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,3.21,3.21,1.07,3.21,0,0,0,0,16.05,6.42,1.07,0,0,2.14,0,0,1.07,0,0,0,0
21Day,1.34,0,0,9.37,4.02,0,2.68,0,0,0,0,1.34,0,5.35,0,1.34,5.35,0,2.68,0,0,1.34,0,10.71,4.02,0,0,0,5.35,1.34,0,0,1.34,0,0,2.68
3Month,0,0.96,1.28,14.72,0,0,0,0.64,2.88,0,0,16,3.2,1.28,8.64,0,2.88,3.2,4.48,1.92,0,0.32,1.28,0.64,0.32,0.64,1.28,0,0.32,1.92,2.24,0.32,0,1.6,3.2,3.84
22Month,0.55,2.73,0.55,6.56,0,0.55,0.55,1.64,6.01,6.01,0,100.58,4.92,2.19,13.12,0.55,1.09,8.2,9.29,1.64,1.64,1.09,0.55,1.64,0.55,0,0.55,0.55,0,1.09,0,0.55,0,0.55,0,4.37
