stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,122.59,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,9.63,5.35,0,7.49,1.07,1.07,0,0,0,0,0,0,0,2.14,0,4.28,19.26,1.07,20.33,0,2.14,0,3.21,22.47,38.51,0,0,10.7,0,0,2.14,0,2.14,0,0,0
21Day,9.37,2.68,0,13.39,1.34,14.72,0,0,0,0,0,2.68,0,2.68,0,5.35,4.02,4.02,14.72,0,0,5.35,0,10.71,9.37,0,0,10.71,0,0,1.34,1.34,1.34,0,0,1.34
3Month,0.32,4.48,0.64,21.44,0.64,0,0.32,0.64,3.84,4.16,0,46.71,1.92,0.64,12.8,3.84,7.68,10.56,6.72,2.24,0,3.52,3.2,1.28,0.32,2.24,2.56,0.32,1.6,12.16,0.32,0,0.96,3.2,16,9.28
22Month,0,0.55,0,2.73,0,0,0,1.09,0,3.28,3.28,47.56,0,2.19,10.93,0,0.55,2.73,2.73,0,2.73,0.55,0.55,0,0,0,1.09,0,0,1.09,0,0,0,0.55,0,2.19
