stage,Cardiomyocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,2.68
3Month,0.32,0.32,0.96,0.32,0.32,0,0,0.32,16.96,18.56,0
22Month,0,0,0,0,0,0,0,0,2.73,0.55,0
