stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,0,1.07,0,2.14,0,0,9.63,9.63,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0,4.02,1.34,0,0,0,0,0
3Month,0.32,0.32,6.4,0,0.32,0.96,0.64,8.64,0,2.56,0.32,4.16,0.96,1.92,0.32,0.32,1.6,0.64,0.64,0.32,0.32,3.52,0.32,1.6,0.64,1.6
22Month,0,0.55,0.55,0,0,0.55,0.55,11.48,0.55,0.55,0,0,1.64,0,0,0.55,0,0,0.55,0,0,0,0,0.55,0,0
