stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,4.02,0,0,0,8.03,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,4.48,0,0.32,0,1.92,0.64,2.24,1.6,0.64,0.64,30.72,1.92,2.24,0,0.96,0.64,0.32,0,0.32,0.32,0,0.64,1.28,0,0.32,0.32,3.52,4.16
22Month,1.09,6.56,0,0,0.55,9.29,1.09,2.19,0.55,0,0,35.53,1.09,0,0.55,0,0,0,0.55,0,0,0,0,1.09,0.55,0,0,0,4.92
