stage,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,6.42,0,0,1.07,0,0
21Day,0,0,1.34,0,1.34,0,0,0,0,9.37,1.34,0,1.34,0,0
3Month,0.32,0,0,0,1.6,0.64,0.64,0.64,0,0,0,0.32,0,6.4,5.12
22Month,0,0.55,0,0.55,2.19,0.55,0,0,0.55,0,0,0,0,1.64,0
