stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,2.14,0,1.07,0,0,4.28,20.33,0,0,0
21Day,1.34,0,0,5.35,1.34,0,0,0,0,1.34,1.34,0,4.02,1.34,5.35,0,0,0,2.68,0,0,0,0,52.2,286.45,0,1.34,0
3Month,0,0.32,0.32,3.84,0,0.64,0,5.76,1.28,0,1.92,0.64,0.64,0.32,0.96,0.32,0,2.24,0,0,0.32,0.64,53.11,0,0,0.96,119.66,0.96
22Month,0,0,0,1.09,0,0,1.64,9.84,0,0,0.55,0,0,1.09,1.64,0,0.55,0,1.09,0.55,0,0.55,5.47,0,0,0.55,0,0.55
