stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,16.35,0,0,0,0,12.26,8.17,0,8.17,57.21,0,0,0,0
72hpf,0,2.14,0,0,1.07,0,4.28,0,17.12,2.14,4.28,0,1.07,0
21Day,0,0,0,0,1.34,0,1.34,0,2.68,1.34,1.34,1.34,0,0
3Month,0,0,0,0.32,0,0.32,0,0,0,0,0,0.32,0,0.32
22Month,0,0,0.55,0.55,0,1.09,0,0.55,0,0,0,5.47,0,0
