stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,1.07,1.07,0,0,0
21Day,0,1.34,1.34,1.34,0,0,0,1.34,1.34,0,1.34,0,1.34,0
22Month,0.55,0.55,0,0,0.55,2.73,1.09,0,0,0.55,0,0,0,1.09
