stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
21Day,12.05,0,0,6.69,0,0,0,0,1.34,0,0,0,0,0
3Month,13.76,0.32,0.96,2.88,0.64,3.84,1.92,2.24,0.32,0.64,0,0.32,0.32,0.32
22Month,0,0,0,0,0,0.55,0,1.09,0,0,0,0,0,0
