stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,485.89,10.71,0,0,1.34,0,1.34,0,2.68,0,4.02,93.7,115.11,8.03,0,0,0,0,13.39,2.68,0,0,4.02,0,0,4.02,1.34,1.34,1.34,0,0,0
3Month,0.64,0.32,107.18,0,0,1.92,2.56,0,6.4,27.52,0,1.92,7.68,4.16,5.44,4.48,0.64,0.32,14.4,3.84,0,0,0.64,0.64,0.96,0.64,5.44,0,0,0,0,4.16,1.92,3.2
22Month,2.19,1.64,123,0,1.09,1.64,4.37,0.55,20.23,9.29,0.55,7.65,1.09,3.28,71.61,3.83,1.09,1.64,4.92,0,0,0,0.55,0.55,0.55,0.55,16.95,0.55,1.09,0,0.55,0,0,2.19
