stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,8.17,0,57.21,0,0,0,0,0,0,0
72hpf,8.56,5.35,13.91,0,0,0,3.21,7.49,41.72,276.01,0,4.28,19.26,2.14,467.5,0,1.07
21Day,0,1.34,1.34,1.34,1.34,1.34,2.68,8.03,9.37,58.9,2.68,1.34,1.34,6.69,172.67,2.68,1.34
3Month,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,1.64,0,0.55,0,0,0,0,0,0,0,0,0,0,0
