stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,8.17,0,0,0,4.09,0,8.17,0,36.78,0,0
72hpf,1.07,0,0,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,0.64,0.32,1.28,0.64,0.32,0,0,0,3.2
22Month,0,0,2.73,6.01,0,0,0.55,0,0,0.55,5.47
