stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,32.69,0,0,0,0,0,0,0,12.26,0,0,0,0,16.35,8.17,16.35,53.12,0,0,0,0,0,114.42,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,7.49,3.21,0,16.05,14.98,0,1.07,0,0,1.07,0,0,0,0,0,0,14.98,34.23,4.28,35.3,0,7.49,0,0,32.09,18.19,1.07,0,26.74,1.07,0,4.28,0,1.07,0,0,0
21Day,12.05,1.34,1.34,69.6,17.4,0,4.02,0,2.68,2.68,2.68,0,0,5.35,8.03,20.08,0,20.08,2.68,87,0,0,17.4,0,30.79,9.37,2.68,1.34,17.4,6.69,1.34,9.37,1.34,0,0,0,9.37
3Month,0.32,1.6,0.96,39.67,0,0.64,0.32,0.32,2.88,4.16,0,0,9.28,2.88,1.6,9.92,2.24,15.36,2.24,23.04,3.2,0,2.56,0.64,0.96,0.32,1.28,0.64,0.64,2.24,5.44,0.96,0,0.32,1.92,1.28,10.88
22Month,0,2.19,1.09,12.03,0,0.55,0.55,0,2.73,6.56,1.64,0,22.41,5.47,2.19,7.11,0,2.19,9.29,16.4,0,0.55,2.73,0.55,1.09,0,0.55,0,1.09,0,2.73,3.28,0,0,0.55,0,7.65
