stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,228.84,53.12,0,192.06,0,0,0,0,0,0,0,4.09,4.09,0,0,0,12.26,8.17,12.26,355.52,0,0,0,114.42,1614.13,0,0,12.26,0,0,0,0,4.09,0,0
72hpf,113.4,16.05,0,37.44,5.35,16.05,0,0,0,0,0,0,0,0,7.49,0,14.98,59.91,2.14,163.68,2.14,3.21,1.07,1807.95,377.64,0,2.14,150.84,2.14,0,109.12,3.21,2.14,0,0
21Day,183.38,4.02,13.39,42.83,1.34,9.37,0,2.68,0,1.34,0,0,2.68,0,1.34,2.68,1.34,28.11,6.69,155.27,0,18.74,0,44.17,18.74,8.03,1.34,131.18,14.72,0,17.4,0,0,0,0
3Month,0.32,1.6,11.52,16.64,0,0,0.64,0,4.16,1.6,0.32,0,2.56,1.28,0,9.28,1.28,15.04,3.84,22.08,0,4.48,0.64,0,0,2.24,0,0,0.64,1.92,0,0,0.32,0.64,1.92
22Month,0,2.73,18.04,9.29,0,0,1.09,0,4.92,7.65,6.01,0,9.84,0.55,0,9.29,0,3.28,2.19,24.05,0,6.01,0,0,0,2.73,0,0,0,2.19,0,0,0,0,0.55
