stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,36.78,4.09,0,0,8.17,36.78,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,2.14,0,0,0,0,0,0,0,1.07,4.28,7.49,4.28,0,0,133.72,18.19,0,1.07,2.14,0,0,6.42,0
21Day,1.34,4.02,0,2.68,1.34,0,0,0,0,0,1.34,0,2.68,8.03,4.02,0,0,60.23,6.69,0,2.68,1.34,2.68,0,4.02,2.68
3Month,0,0.64,0,0,0,0,0.64,0,1.28,0,0.64,0,0.32,0.96,0.96,0,0,0.96,0,0,0.64,0,0,4.8,0,0
22Month,0,2.19,0.55,0,0,0.55,1.64,0.55,2.73,0.55,0,0.55,0,12.03,0.55,0.55,1.09,0.55,0,0.55,1.09,0,0,2.73,0.55,0
