stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,9.37,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0
3Month,7.36,1.28,0.32,0.64,1.6,0.64,0.32,0.32,0,0.64,0.32,0.32,0,0,0.32,0.32
22Month,4.92,2.73,0,1.09,0,0,0.55,0.55,0.55,0,0,0.55,0.55,1.09,0,0
