stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,32.69,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,3.21,0,3.21,0,0,9.63,7.49,0,3.21,0,0,0,1.07,0,0
21Day,2.68,1.34,8.03,0,0,4.02,0,0,1.34,0,0,0,0,1.34,0,1.34,0,2.68,5.35,1.34,0,4.02,0,1.34,1.34,0,0,0
3Month,0,0,0.64,0,0.32,0,0.96,0,2.56,0.96,0,0.64,0.32,0.64,0,0,0.32,0,0,0,0.32,0,1.6,0,0,0,0.32,0
22Month,0,0,0.55,0,0,0,0.55,0.55,12.57,0.55,0.55,0.55,0,0,0.55,1.64,0,0,0,0.55,0,0,0,0,0,0,0,0.55
