stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,5.12,0.32,1.28,1.6,0.32,10.24,0.96,0,11.2,0.96,77.75,41.91,8,0,0.96,2.24,0.32,0,0,0,1.6,1.28,0,0.96,0.32,0.96
22Month,0,0.55,0,3.28,0,0.55,1.09,1.64,67.24,1.09,1.09,5.47,0,102.22,3.28,0,2.19,1.09,0,0,0.55,0.55,0.55,0,0,0.55,0,0,2.73
