stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,1.07,2.14,0,0,0
3Month,2.24,0.32,1.6,0.96,0.64,0.64,0.32,0.64,0,0,0,0.32,6.72,62.71
22Month,0,0,3.28,0,0,0,1.09,0,0,0,0,0,0.55,0
