stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,5.35,1.07,0,0,0,0,0,0,0,9.63,0,0,1.07,0,3.21,3.21,4.28,0,1.07,2.14,0,0,0,0,0
21Day,0,10.71,0,0,0,5.35,0,0,0,1.34,2.68,1.34,0,0,1.34,0,1.34,1.34,1.34,0,0,1.34,0,0,0,0
3Month,0.96,34.23,0,0.32,0.32,47.67,0.64,6.08,0.64,9.6,8.96,0,0.32,0.64,1.92,5.76,0,0,1.92,0,0,0.96,2.56,0.96,5.44,0.96
22Month,0.55,16.4,0.55,0,0,61.23,0.55,8.2,0.55,24.6,2.73,0,0.55,1.64,0,0,0,0,2.73,0,0,0,4.37,0,0,0.55
