stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,16.35,0,40.86,0,0,0,4.09,0,0,0,0,0,4.09,32.69,0,0,0,81.73,122.59,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,5.35,0,6.42,2.14,9.63,0,0,0,0,0,5.35,18.19,1.07,66.33,0,1.07,0,863.32,77.02,0,1.07,24.61,0,1.07,11.77,1.07,0,0,0
21Day,2.68,1.34,0,4.02,1.34,2.68,0,0,0,0,0,0,5.35,0,33.46,0,0,1.34,148.58,17.4,0,0,8.03,6.69,9.37,4.02,0,0,0,0
3Month,0,0.32,0.32,12.8,0.32,0,0.32,0,5.76,2.56,1.92,0,35.83,0.96,1.28,0,0.64,0.64,0.96,0.32,0.32,0,0,0.64,42.55,0,0,0.32,6.72,0.64
22Month,0,0,0,0,0.55,0,0,0.55,5.47,0,2.19,0,1.09,0,0,0.55,0,0,2.73,0,0,0,0,0,24.05,0,0,0,0,0
