stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,5.35,0,1.07,0,6.42,12.84,0,0,3.21,0,0,2.14,0
21Day,1.34,4.02,1.34,0,1.34,2.68,0,0,0,0,0,1.34,0,6.69,0,0,0,0,2.68,0,0,5.35,1.34,0,0,0
3Month,0,0.32,0,0,0,0.32,0,1.28,0.32,0,0,0.32,0,0.32,0.32,0,0.32,0,0,0,0,0,0,0.96,0,0.32
22Month,0,2.73,0,0.55,0,2.73,0.55,27.33,1.09,1.09,2.73,0.55,0.55,4.92,0,3.28,0,0,0,0.55,1.09,1.64,0,1.09,0,0
