stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,4.09,0
72hpf,0,0,1.07,22.47,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,6.42,3.21,0,0,3.21,0,0,0
21Day,0,0,0,16.06,4.02,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,5.35,0,0,0,0,0,0,0
3Month,0,0.32,21.44,2.24,0,0,0.32,3.2,2.24,0,0.32,0.32,0.96,0.32,0.96,0.32,0,0.64,0,0,0.32,0,0,0.32,0,0
22Month,0,0,19.13,1.09,0,1.09,1.64,101.13,3.28,0.55,0.55,0,0,0.55,1.09,0,0.55,0.55,0,0,0.55,0.55,0,0,0,0.55
