stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
21Day,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,7.36,0,0,0,0,0.64,0.32,0,0.32,0.32,0,0.32,0.32
22Month,0.55,2.19,0.55,1.64,95.12,0.55,1.09,0.55,1.09,0,0,3.28,0.55,0,0.55,0,0
