stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,4.28,0,0,0,0,0,0,0,0,0,0
21Day,2.68,1.34,0,4.02,2.68,0,4.02,0,0,1.34,1.34,0,1.34,0,0,0,2.68,8.03,0,0,1.34,0,1.34,2.68,1.34,1.34,0,1.34,0,0,0,0,0,0
3Month,0,3.84,0,16.96,0,1.28,0.32,8.32,2.24,0.64,175.97,2.56,1.28,18.56,1.28,3.2,8.96,4.48,0.96,0,2.56,3.2,1.28,0,1.28,0.32,0,2.24,9.92,0,0,2.24,5.76,1.92
22Month,0,20.77,1.09,11.48,0,1.64,1.64,1.64,4.92,18.59,1067.07,3.28,2.73,18.59,0.55,3.83,8.2,16.4,0,8.2,1.64,0,1.64,0,2.19,1.64,0.55,2.19,16.4,1.09,0.55,1.64,0,4.37
