stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,28.6,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,4.28,0,2.14,0,5.35,0,0,0,0,0,0,0,0,0,0,2.14,8.56,3.21,4.28,0,2.14,0,66.33,8.56,1.07,1.07,9.63,0,0,1.07,0,2.14,0,0,0
21Day,2.68,1.34,4.02,20.08,2.68,2.68,0,8.03,0,0,0,0,2.68,1.34,5.35,1.34,4.02,13.39,5.35,13.39,0,4.02,0,16.06,13.39,4.02,0,6.69,2.68,0,0,1.34,0,0,0,0
3Month,0.32,2.56,0.32,13.12,0,0,0.64,0.64,1.92,7.68,0,0,16.64,8.32,0.64,6.08,1.92,3.2,13.44,5.76,1.28,1.92,0.32,1.92,0,2.24,0.32,0,0.96,9.28,0,0,0.32,4.8,4.16,1.92
22Month,0,0.55,1.09,7.11,1.09,0,0.55,1.09,1.09,27.33,3.28,0,34.44,10.93,2.73,9.29,0,0.55,18.59,4.37,0,0.55,0,0,0,2.73,0.55,0,0.55,0.55,0.55,0,0,0,0,2.73
