stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,12.84,0,0,0,0,8.56,5.35,0,0,0,20.33,0,0,3.21,1.07,0,0,0
21Day,0,0,0,4.02,0,1.34,0,1.34,0,0,0,0,0,0,2.68,0,70.94,0,0,5.35,0,16.06,9.37,0,2.68,0,17.4,2.68,0,2.68,0,0,0,0
3Month,0.64,3.52,0.32,5.44,0,0,0.32,0.32,0,10.24,0.96,0.32,0.64,0.96,7.68,1.6,18.24,2.24,0,0.96,0.32,0.32,0,0.96,0.32,0,0.32,0,1.28,0.32,0,0.96,0.32,0.64
22Month,0,10.39,0,1.09,0,0,0,0.55,2.19,39.36,2.19,0.55,4.92,0,1.64,0.55,7.65,0,0.55,0,0,1.09,0.55,0,0.55,0.55,0,0,1.09,0.55,0,0.55,0,1.09
