stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,53.12,4.09,0,8.17,0,0,8.17,4.09,196.15,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,5.35,0,0,0,0,0,0,0,0,0,3.21,57.77,0,1.07,0,0,0,5.35,22.47,0,0,0,2.14,0,0,9.63,0,0,0,0,0
21Day,0,0,0,17.4,1.34,0,0,0,0,0,0,0,0,0,2.68,69.6,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,1.28,1.92,2.24,124.14,0.96,0.64,0.32,3.84,7.04,0.64,40.31,7.04,1.28,12.48,44.15,6.08,9.28,6.08,1.28,2.24,5.44,1.92,0.96,1.92,0.64,0,0.96,5.76,44.47,0.96,0.32,0.32,3.52,1368.42,4.16
22Month,0,0,0,66.15,0,0.55,0,0,0,1.09,7.11,0,0,1.64,6.56,2.19,2.73,0.55,0,0,0.55,0.55,0.55,2.19,0.55,0.55,0,0,112.06,1.09,0,0,0,9.29,0
