stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,8.17
72hpf,0,2.14,1.07,0,0,1.07,2.14,0
21Day,1.34,0,0,0,0,1.34,4.02,0
22Month,0.55,0,0,0.55,0.55,0,0,0
