stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,2.14,3.21,0,0,232.14,8.56,2.14,0,2.14,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,6.69,68.27,1.34,0,1.34,0,1.34,1.34,1.34,1.34,1.34,0,0
3Month,0,0.32,0.64,0,0,0.64,0,0,0,0,0.32,0,0,0.64,0,0.32,0,0.32,0,0.32,1.92,0,0,0.32,0
22Month,0,0,0,0,0,6.56,0.55,0.55,0.55,0.55,1.09,0.55,0,0.55,0,2.19,0,0,0,2.19,13.12,0,0,0,0.55
