stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0
21Day,1.34,1.34,9.37,0,0,0,0,0,1.34,0,0,4.02,2.68,1.34,0,0,0,1.34,0,1.34
3Month,0,0,4.48,1.28,1.92,0,2.56,9.6,0.32,2.24,0.32,0.32,3.52,0.96,0.32,0.64,0.32,0,0.64,1.92
22Month,0,0,0,0.55,2.19,0.55,2.19,1.64,0.55,2.73,0,0.55,6.56,0.55,0,0,0,0,0,0.55
