stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,0,0,0,0,0,8.17,8.17,8.17,8.17,0,0,0
72hpf,0,0,0,9.63,0,1.07,0,3.21,0,6.42,2.14,2.14,10.7,0,0,1.07
21Day,2.68,0,1.34,34.8,0,13.39,1.34,4.02,0,38.82,5.35,0,21.42,4.02,1.34,0
3Month,0,0,0,0,0.64,0,0,0,0.32,0.64,0,0,0,0,0,0
