stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,4.09,16.35,0,0,0,4.09,69.47,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,0,1.07,0,0,0,0,0,0,0,0,1.07,10.7,1.07,5.35,0,0,0,20.33,6.42,0,1.07,7.49,0,0,0,0,0,0
21Day,1.34,0,0,8.03,0,4.02,0,0,0,0,0,4.02,0,0,1.34,1.34,1.34,0,0,0,4.02,2.68,0,0,1.34,0,1.34,1.34,0,0,2.68
3Month,0,1.28,0,9.28,0,0.32,1.28,2.88,0,12.16,6.4,0.96,7.68,0.96,2.88,3.52,2.88,0.32,0,0.32,0.32,0,0,0.32,0.64,1.28,7.36,0.32,0.96,3.52,12.16
22Month,0,0.55,0.55,2.73,0,0.55,1.64,4.37,0.55,44.83,5.47,1.09,8.2,0,0.55,4.37,3.28,0,1.64,0,0,0,0.55,0,0,0,1.09,0,0,0,6.56
