stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,40.86,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,4.28,8.56,0,0,0,0,0
21Day,1.34,0,8.03,1.34,2.68,2.68,1.34,0,1.34,0,0,0,0,6.69,1.34,10.71,0,5.35,1.34,1.34,2.68,1.34,1.34
3Month,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0
22Month,0,0.55,1.64,0,0,0,0.55,0.55,8.75,0.55,0.55,1.09,0,0,0.55,0.55,0.55,0,0,0,0,0,0
