stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,57.21,28.6,200.23,0,4.09,0,0,0,93.99,0,0,0,0,40.86,8.17,49.04,224.75,0,0,0,0,143.02,1430.24,0,0,0,28.6,0,0,0,0,16.35,0,0,0
72hpf,3.21,1.07,7.49,8.56,0,0,1.07,0,0,0,0,4.28,0,3.21,7.49,2.14,29.95,0,2.14,0,1.07,56.7,80.23,0,1.07,0,5.35,1.07,0,6.42,2.14,0,0,0,0
21Day,1.34,0,10.71,56.22,17.4,0,2.68,0,0,2.68,0,8.03,1.34,0,1.34,1.34,8.03,0,0,4.02,0,14.72,25.43,0,1.34,0,6.69,4.02,0,1.34,1.34,2.68,0,0,2.68
3Month,0,0,4.16,0,1.92,0.32,5.76,0,0,35.51,2.56,2.56,5.44,0.32,0.32,4.48,2.24,0,0,1.92,0.64,0.32,0.64,0.96,0,0,0.32,1.28,4.48,0,0,0,0.96,2.88,3.52
22Month,0,0,0.55,0,0.55,0,9.84,0.55,0,10.39,3.83,0.55,6.56,0,0,6.01,1.09,2.19,0,0,0,0.55,0,0,0,0.55,0,0,1.64,0,0,0,0,0,1.09
