stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,4.09,36.78,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,3.21,0,1.07,3.21,3.21,0,0,0
21Day,2.68,2.68,0,4.02,0,0,1.34,1.34,0,0,2.68,2.68,0,1.34,0,2.68
3Month,0,1.28,0,0,0.64,0.64,4.48,0,0.64,0,0,0,0,0,1.6,0.64
22Month,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
