stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,20.43,0,0,0,0,0,0,0,8.17,0,0,4.09,0,0,12.26,12.26,8.17,0,32.69,40.86,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,3.21,11.77,0,0,0,0,1.07,0,0
21Day,6.69,1.34,0,2.68,1.34,1.34,4.02,0,0,0,0,0,0,0,0,0,8.03,0,1.34,2.68,0,1.34,1.34,1.34,1.34,1.34,0
3Month,0,0,0,0.32,0,0,0,0.32,0,0,0.32,0,0,0,0.96,0,0.64,0,0,0,0.32,0,0,0.64,0,0,0.64
22Month,0,1.09,1.09,2.19,0,0,1.09,10.39,0,2.19,1.09,4.92,6.01,0.55,1.09,10.39,1.64,0.55,0,0,2.19,0,0,0,0.55,0,2.19
