stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,5.35,0,0,1.07,0,6.42,0,0,2.14,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,1.34,17.4,0,1.34,4.02,1.34,1.34,1.34,2.68,0,0,0,0,5.35,2.68,1.34,0,2.68,0,1.34,0,0,0
3Month,0,0,1.92,3.2,0.32,2.24,0,302.35,1.92,0,11.52,1.6,1.28,1.28,2.24,0.32,0,1.92,0.32,0,0,0.96,0.32,3.52,0.64,0,0.32,0.32,2.24
22Month,0.55,0.55,0.55,1.09,0.55,2.19,2.19,240.53,0,0,13.67,0,0,2.73,1.64,0,4.92,0,0,0,0,0,0.55,0,1.64,0,0,0,0
