stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,4.09,0,0,0,0,0,0,0,0,16.35,4.09,4.09,4.09,8.17,0,0,0,0,4.09,147.11,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,1.07,13.91,4.28,0,0,0,0,0,0,0,16.05,0,7.49,0,5.35,0,0,0,0,6.42,11.77,0,0,8.56,0,0,2.14,0,1.07,42.79,0,0
21Day,8.03,0,6.69,21.42,2.68,16.06,0,1.34,0,0,20.08,0,2.68,6.69,2.68,14.72,1.34,26.77,0,0,2.68,0,21.42,20.08,0,1.34,10.71,10.71,2.68,17.4,1.34,6.69,718.79,0,0
3Month,0.32,0.32,3.52,8.32,0,0,0.32,0,0.96,0.64,14.4,1.6,0.32,1.92,0.32,1.28,1.6,7.68,1.28,0,4.16,1.92,0.32,0,0.64,0,0.64,1.6,20.48,0,0,0,43.19,31.36,0.64
22Month,0,0.55,0.55,0.55,0,0,0.55,0,0.55,1.64,14.76,0,0.55,2.19,0.55,0,0.55,32.8,0,1.64,0.55,0,0,0,0,0,0,0.55,20.77,0,0,0,6.56,0,0
