stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,38.51,5.35,1.07,0,2.14,0,0,0,37.44,2.14,0,0,0
21Day,2.68,0,0,2.68,0,0,0,0,4.02,0,1.34,0,2.68,0,1.34,0,0,0,26.77,1.34,0,1.34,0,2.68,0,1.34,174.01,2.68,0,0,2.68
3Month,0,0.32,0.32,0.32,0,0.32,0.32,0,47.35,0.64,0,1.6,0.32,0.32,0.64,0.32,0,0,1.28,0,0.32,0,0,1.28,0,0.64,3.84,0,0,0.96,2.24
22Month,0,0,0,2.73,0,0.55,2.73,0.55,306.67,0,0,1.09,0,0.55,2.19,0,4.92,0.55,0.55,0.55,0,0,0,0.55,0.55,2.73,132.29,0,0.55,0,2.19
