stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,1.07,1.07,2.14,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.64,0,0,0,0,0.32,0,0,0,0
22Month,0,0,1.09,0.55,0.55,0.55,0,0,0,0,0.55
