stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,3.21,0,0,0,3.21,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,6.69,0,2.68,0,0,4.02,12.05,0,0,0,13.39,0,0,0,0,1.34,1.34,0,1.34,1.34,1.34,0,0,0,16.06
3Month,0.32,0.64,8.64,0.32,0.64,1.6,0.32,32.95,0,5.12,48.63,1.28,2.24,0.32,1.28,18.24,1.92,0.96,0,0.32,0,0.32,0.32,0.32,0,0.64,2.56,2.56,1.92,32.63
22Month,0,0.55,12.57,0,2.73,1.09,0.55,196.25,1.64,33.89,92.38,9.84,2.19,0.55,0,82.54,7.65,0.55,1.64,0,0,0,0.55,0,0,0,1.64,0.55,0,24.05
