stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0
3Month,0,0.32,2.56,16.64,0.64,5.12,21.76,8.64,4.8,1.6,1.92,1.92,5.12,0.32,0,0.64,0.96,1.6,0.32,0.96,0.32,0,1.6,21.44,2.56,74.87,3.84
22Month,0,0.55,0,1.09,1.09,0.55,30.61,0,1.09,0,0,0.55,0.55,0,0.55,0,0,0,0,0.55,0,0,0,21.32,0,0,0
