stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,1.07,0,2.14,3.21,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,5.35,2.68,0,9.37,10.71,0,0,0,0,1.34,1.34,24.09,1.34,4.02,5.35,8.03,12.05,0,0,1.34,0,10.71,4.02,0,0,0,5.35,6.69,0,0,1.34,6.69,0,0,314.56
3Month,4.48,8,0.96,29.76,0,10.88,3.52,12.48,0,33.27,24.96,1.28,16.64,4.16,11.84,18.88,33.91,2.24,0.96,4.8,6.72,3.2,0,1.92,2.24,0,0.96,8,11.2,0.96,0.64,0,7.36,11.52,1985.61
22Month,0,8.2,1.09,13.67,0,3.83,3.83,21.32,4.37,79.26,6.01,2.73,5.47,0.55,4.92,33.35,20.23,0.55,4.92,4.37,0,1.64,0,2.19,1.09,0.55,0,0.55,4.92,0,1.09,0,0.55,0,1043.02
