stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0
21Day,6.69,0,0,0,1.34,0,0,0,0,0,0,2.68,0,0,1.34,0,4.02,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,4.48,0,0.32,0.32,0.64,0.64,6.08,1.92,0,1.92,1.6,0.64,0.64,1.6,0.64,0.32,0.32,0,0.32,0.64,0.32,32.31,0.32,0.32,56.63,0.32
22Month,0,0,0,0.55,0,0,0,0,0,0.55,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0
