stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,65.38,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,8.17,20.43,0,4.09,0,0,0,0,0,0,0
72hpf,106.98,8.56,0,4.28,4.28,0,0,0,0,0,0,2.14,0,25.67,0,0,1.07,16.05,10.7,2.14,7.49,0,0,2.14,1.07,0,0,0
21Day,50.86,0,0,2.68,1.34,0,0,0,0,0,0,9.37,1.34,77.63,0,0,40.16,6.69,5.35,4.02,9.37,2.68,0,0,0,2.68,0,0
3Month,1.6,0,0,1.92,0,0,0,0,1.28,0,0.64,0.96,0.32,1.92,0,0,1.92,0,0,5.76,0,0,0.32,0,0,0,0.64,0.64
22Month,1.09,0.55,0.55,1.09,0,0.55,1.09,3.28,3.28,0.55,1.09,0.55,0.55,2.19,0.55,1.09,7.11,0,0.55,12.57,0,0,0,0,0,0,0,0
