stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,2.68,14.72,4.02,0,0,0,0
3Month,0,0,0,0,0.32,0,0.64,0,0.64,0,0.64,0,0,0.32,0,0.32,2.24
22Month,0.55,0.55,0.55,0.55,0.55,0.55,5.47,0.55,0,1.64,1.09,0.55,0,0,0,0,1.64
