stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,0,0,5.35,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,6.42,0,8.56,0,0,0,1.07,71.68,9.63,0,0,0,4.28,0,0,0,0,0,0
21Day,8.03,0,0,16.06,0,2.68,0,1.34,0,0,0,2.68,0,1.34,1.34,2.68,16.06,1.34,48.19,0,0,4.02,0,30.79,2.68,0,0,0,5.35,4.02,0,0,1.34,0,0
3Month,0,0.96,0.32,13.12,0,0,0.32,0.64,0.64,1.28,0,117.74,1.6,0,5.44,1.6,2.56,2.88,7.68,1.28,0.64,2.88,2.56,0.64,0.32,0.96,0.32,0,0,3.2,2.24,0,0,0.32,2.24
22Month,0.55,2.19,3.83,6.56,0,0,1.09,0.55,0.55,5.47,4.37,180.94,1.64,1.09,6.01,0.55,1.09,3.83,9.29,0.55,4.92,1.64,0,1.09,0,1.64,0.55,0.55,0.55,1.09,2.19,1.09,0.55,0,2.19
