stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,4.28,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,5.35,0,5.35,0,0,0,0,0,2.68,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,10.71
3Month,0.32,0.64,0.32,7.36,0.32,0,0.64,0.64,0.32,2.56,0,4.8,1.28,0.64,1.6,0.32,1.6,6.08,2.24,0.32,0,0,0,0.32,1.6,0.96,0,0,1.28,1.28,228.44
22Month,0,2.73,0,1.64,0,0,1.09,0,1.09,2.73,1.64,15.31,1.64,1.09,1.64,0.55,0,3.28,3.28,0.55,1.64,0,0,0,1.64,0,1.09,0.55,1.09,0,100.04
