stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,2.14,1.07
21Day,0,0,2.68,2.68,1.34
22Month,0.55,1.09,0,0,0
