stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,70.61,2.14,0,0,0,4.28,1.07,0,0
21Day,1.34,0,0,0,1.34,1.34,2.68,0,0,1.34,0,0,0,0,0,1.34,0,44.17,1.34,1.34,1.34,2.68,1.34,0,0,0
3Month,0,0.64,0.32,2.56,0,0,0.64,0,4.16,3.2,0.96,0.32,0.32,0.32,0,0.32,1.28,0.32,0,0.32,0,0.64,0,0,0.32,0.64
22Month,0,0,0,0.55,0,0,0.55,0.55,6.01,0.55,0.55,0,1.64,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0.55
