stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,4.09,0,0,0,0,8.17,0,49.04,0,0
72hpf,1.07,1.07,2.14,1.07,0,3.21,0,1.07,4.28,8.56,1.07,3.21
21Day,0,0,1.34,0,1.34,0,1.34,5.35,2.68,1.34,0,0
