stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,1.07,13.91,0,0,0,0,1.07,0
21Day,0,1.34,2.68,0,0,0,0,0,40.16,0,0,0,0,0,0
3Month,0.32,0,9.6,0,0.32,0.64,0.32,0,0.64,0.32,0.32,0.32,0.32,0.32,4.16
22Month,0,0,1.64,0,0,0.55,0,0,1.64,0,0.55,1.09,0,0,0
