stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,8.17,0,0,16.35,0,102.16,0,0,0
72hpf,0,1.07,1.07,0,0,11.77,8.56,1.07,1.07,0
21Day,1.34,1.34,0,1.34,1.34,1.34,6.69,4.02,0,2.68
