stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,3126.1,12.26,0,0,0,0,12.26,32.69,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,4.28,0,1.07,0,0,0,18.19,0,0,0,0,0,0,0,2.14,278.15,3.21,0,0,0,0,10.7,3.21,0,0,0,1.07,0,0,0,1.07,0,1.07,0,0,0
21Day,2.68,2.68,0,4.02,0,0,0,2.68,0,5.35,0,0,0,2.68,24.09,0,0,6.69,394.87,9.37,0,0,1.34,0,6.69,4.02,0,0,0,4.02,2.68,0,1.34,0,0,0,0,0,2.68
3Month,6.4,13.44,1.6,36.79,0.64,0,5.76,0,6.72,2201.25,0,0,65.59,44.79,8.96,31.67,4.8,25.28,3713.01,71.35,12.16,0.32,13.76,8.96,5.12,0.32,4.16,4.8,0,1.6,31.04,0.32,17.28,2.24,0,0,8.64,15.68,15.36
22Month,6.56,20.23,3.83,30.61,0,0,64.51,1.09,7.65,6981.87,10.39,0,166.18,115.89,30.07,25.15,3.28,9.29,3991.67,217.57,0,12.03,9.29,0.55,4.37,0.55,3.28,8.75,0.55,1.09,8.2,0,5.47,13.12,6.56,0,1.09,0.55,25.15
