stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,93.99,0,0,0,0,0,0,0,8.17
72hpf,4.28,0,0,2.14,0,0,0,0,0,0,8.56,10.7,0,500.66,72.75,0,3.21,0,0,5.35,2.14,1.07,3.21
21Day,0,0,8.03,1.34,0,2.68,0,6.69,2.68,1.34,1.34,4.02,1.34,171.33,66.93,4.02,1.34,6.69,1.34,2.68,9.37,0,1.34
3Month,0,0,0.32,0,0.64,0.32,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0.64,0,0,0,0.32
22Month,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,2.73,0.55,0,0,3.28
