stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,8.17,0,4.09,0,0,0,0,0,4.09,0,0,0,0,4.09,0,8.17,32.69,0,0,0,16.35,245.18,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,5.35,2.14,2.14,0,0,0,0,0,0,0,0,0,0,1.07,4.28,0,13.91,0,0,0,64.19,40.65,1.07,0,1.07,0,0,2.14,0,1.07,0,0,0
21Day,4.02,0,12.05,0,9.37,0,6.69,0,1.34,0,0,0,0,0,0,0,0,0,26.77,0,2.68,0,18.74,13.39,0,0,2.68,0,0,4.02,1.34,0,0,0,1.34
3Month,0,3.2,19.52,0,0,0.64,0.64,1.28,1.28,0,0,29.12,1.6,1.28,9.92,2.24,9.6,4.48,9.28,2.24,0.64,1.28,1.28,0.96,0.96,0.64,0.32,0.96,45.11,0,0,0,1.6,9.6,5.44
22Month,0,0.55,3.83,0,0,0.55,0.55,0,0.55,1.09,0,10.93,0.55,1.09,1.64,0,0,1.09,1.64,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,1.09
