stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,5.35,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,16.05,7.49,0,0,4.28,0,0,0,0,0
21Day,0,0,1.34,1.34,0,8.03,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,2.68,1.34,0,0,0,0,0,0,0,0
3Month,0,0.64,0.64,4.16,0,0,0.32,0.64,1.28,1.92,0,3.84,1.92,2.56,0.32,0.96,1.92,1.92,0.32,0,0.64,1.6,0.32,0,0,0.32,0.64,8.32,1.6,1.92,2.88
22Month,0,2.19,0,3.28,0.55,0,0,1.64,1.09,10.93,3.28,22.96,2.19,4.92,0,0.55,5.47,6.01,0.55,1.09,1.09,1.09,0,1.64,0.55,0.55,0.55,1.64,0,0,0.55
