stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,43.86,17.12,1.07,3.21,0,2.14,0,0,6.42,41.72,14.98,1.07,0,0,0
21Day,0,1.34,2.68,2.68,0,0,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0,29.45,5.35,0,18.74,0,6.69,1.34,0,4.02,78.97,52.2,2.68,0,0,0
3Month,0.32,0.32,5.12,0,0,0.64,0.96,0,2.56,0.64,0,0.32,0.64,0.32,0.64,7.04,0.64,0.32,0.32,0,0,7.04,0,0,0.32,23.04,0.32,0.96,0,0.64,1.28,9.92,0.64
22Month,0,1.09,7.65,0,0.55,0,3.28,1.09,15.85,0.55,0.55,1.64,0,0,1.09,6.56,0,0,1.09,0,0.55,4.92,1.09,0,0,3.28,6.01,36.08,0,0,0,0,0.55
